Ground Truth,Prediction
0.97,0.653183
0.513784973,0.5857304
0.26772768,0.2323116
0.850494813,0.36826646
0.79,0.653183
0.562004166,0.36832815
0.857601164,0.5857304
0.36,0.653183
0.538800299,0.58572286
0.067104708,0.58572286
0.925891994,0.36826646
1.0,0.64778507
0.214510117,0.2323504
-0.079261497,0.24968739
0.21,0.653183
0.691213147,0.23229204
0.98,0.653183
0.69,0.5857163
0.0934321,0.24970455
-0.105769498,0.24968739
0.208041284,0.36823642
0.4,0.5857163
0.99,0.64778507
0.800597051,0.5857163
0.28754944,0.2323504
0.51,0.653183
0.020551866,0.23238021
0.48,0.64778507
0.83,0.64778507
0.54,0.64778507
0.992115592,0.24968739
0.102381581,0.24975497
0.361401273,0.2323503
0.953547354,0.5858524
0.772975129,0.23229204
0.347204147,0.24968739
0.348760784,0.58573157
0.64,0.64778507
0.693719653,0.5857304
0.96,0.5857163
0.438354763,0.24968739
0.93903646,0.36826646
0.830883054,0.58572966
0.178880976,0.24974136
0.49,0.64778507
0.31,0.64778507
0.95,0.653183
0.096907824,0.24969879
0.82,0.64778507
0.985757512,0.36826646
0.77698085,0.24971345
1.0,0.36824757
0.8,0.64778507
0.99,0.64778507
0.68,0.653183
0.3,0.64778507
0.94,0.653183
0.049537262,0.23242904
1.0,0.5857163
0.424092022,0.23229204
0.9,0.653183
0.77,0.64778507
0.398060462,0.36823642
0.366649767,0.24971345
0.015726875,0.24969026
0.50025325,0.2323504
0.207042073,0.5857279
0.655688194,0.5858524
0.030581878,0.36823383
0.798965419,0.5857304
0.32,0.64778507
0.77,0.653183
0.294774699,0.5858524
0.58,0.5857163
0.529796976,0.24975497
0.239911336,0.23242904
0.52,0.64778507
0.471145219,0.2323116
-0.018487682,0.5856909
0.56,0.64778507
0.23,0.64778507
1.0,0.5857163
-0.040410146,0.5856909
0.68,0.5857163
0.78,0.5857163
0.96,0.64778507
0.01421787,0.36826134
0.98,0.653183
0.301345158,0.24975497
0.65,0.653183
-0.16313065,0.36826134
1.0,0.64778507
0.359147365,0.2323504
0.9752189,0.5857304
0.32,0.5857163
0.35,0.653183
0.123665934,0.5858524
0.148631736,0.5857085
0.46,0.653183
0.37,0.653183
0.82,0.653183
1.0,0.5857163
0.32,0.653183
0.97,0.64778507
-0.078703516,0.23235063
0.839708915,0.58572966
0.78,0.5857163
0.77,0.5857163
0.682468747,0.24974136
0.92,0.5857163
0.99,0.64778507
-0.01152784,0.23238021
0.93,0.653183
0.59,0.653183
0.391686721,0.24970455
0.9,0.64778507
-0.024786273,0.5856909
0.970487252,0.585728
0.89,0.64778507
0.65,0.653183
0.013095095,0.36826134
0.015967871,0.36823642
1.0,0.653183
0.627888846,0.58572286
0.25811622,0.58573157
0.256921557,0.5857304
0.31,0.653183
0.99,0.64778507
-0.094974989,0.36822367
0.61,0.64778507
0.44,0.64778507
0.31,0.653183
0.94,0.64778507
0.95,0.64778507
0.83,0.64778507
0.297192977,0.2323116
0.061168732,0.24968739
-0.018352856,0.24969879
-0.07662406,0.58573157
0.74,0.64778507
0.63,0.5857163
0.522945837,0.5858524
0.310573201,0.2323503
0.369519415,0.24970455
0.97,0.64778507
0.67,0.5857163
0.714621982,0.24969879
0.867915447,0.24975497
0.99647851,0.585728
0.728268743,0.5857304
0.160425341,0.23235182
0.83,0.653183
0.94,0.653183
1.0,0.653183
0.760644946,0.36832815
0.381431921,0.36832815
0.48700754,0.5857304
-0.015775371,0.368352
0.21,0.5857163
-0.153234447,0.2497419
0.88,0.5857163
0.00776418,0.23235182
0.609238697,0.36826646
0.6,0.653183
0.74,0.64778507
0.6,0.64778507
0.29,0.653183
0.74,0.5857163
0.46,0.5857163
0.004632242,0.2323503
1.0,0.5857163
-0.019014799,0.24968739
0.855509547,0.58571434
0.820749859,0.5857163
0.149559823,0.2323503
0.20613862,0.368352
0.948905032,0.58571434
-0.099227951,0.23238021
0.394404213,0.2323504
-0.064477932,0.36834323
0.65,0.653183
0.39982338,0.24969026
0.64,0.64778507
0.56,0.5857163
0.797292453,0.5857279
0.979573464,0.5857163
0.67,0.653183
0.68,0.64778507
0.640491404,0.58571434
0.193924448,0.24969026
0.89,0.64778507
0.89,0.653183
0.385181872,0.5857279
0.934278813,0.36826646
-0.082607459,0.24968739
0.76342627,0.36826646
-0.082142641,0.36834323
0.26,0.5857163
-0.040123651,0.24969026
0.079500518,0.24975497
0.965103967,0.5858524
1.0,0.64778507
0.52,0.653183
0.029895677,0.24971345
1.0,0.653183
0.57,0.5857163
0.91,0.5857163
0.37,0.64778507
-0.085069934,0.36822367
0.87,0.64778507
0.268926974,0.36826134
0.56,0.64778507
0.999215252,0.5858524
0.95,0.5857163
1.0,0.64778507
0.74,0.64778507
0.946041736,0.5858524
0.297003378,0.24974136
0.89,0.653183
0.7,0.64778507
0.048725938,0.24968739
1.0,0.5857163
0.53,0.64778507
0.686929399,0.24970455
0.867582987,0.24969026
0.413967057,0.2323504
0.974944853,0.24968739
-0.11381578,0.24969026
0.45,0.5857163
1.0,0.653183
0.47,0.64778507
0.922092524,0.2323504
0.3,0.64778507
0.996070828,0.36826646
1.0,0.64778507
0.010523057,0.36826134
0.53,0.64778507
0.81,0.653183
0.36,0.653183
0.625072193,0.36822367
0.85388005,0.36824757
0.42,0.64778507
0.52,0.64778507
0.877101717,0.5858524
0.34,0.64778507
0.182913407,0.36824757
