Ground Truth,Prediction
0.600417195,0.5857304
-0.078726118,0.58573157
0.421842867,0.24970455
0.99,0.653183
0.22,0.5857163
0.049751007,0.23235182
0.386451116,0.23235063
0.027174524,0.36834323
0.26,0.64778507
0.624263831,0.2323504
0.87,0.653183
0.7,0.653183
0.759192572,0.36832815
0.93,0.653183
-0.149667953,0.58573157
-0.070352367,0.24969879
0.99,0.653183
0.385907739,0.2323504
0.740522384,0.5857163
0.468861713,0.5857279
0.948639738,0.5858524
0.59772333,0.36826646
0.99,0.64778507
-0.23864349,0.36823642
0.45,0.64778507
0.144991495,0.5857163
0.298710941,0.2323503
0.034054184,0.24971345
0.885709593,0.58572966
0.937991001,0.24968739
0.3,0.653183
1.0,0.64778507
0.738838727,0.5858524
0.79,0.5857163
1.0,0.5857163
0.799388333,0.5857304
0.15,0.653183
0.786152358,0.24970455
0.84,0.653183
0.86,0.64778507
1.0,0.64778507
0.31,0.653183
0.42,0.653183
0.009868616,0.23238021
0.126314345,0.23235182
0.037032411,0.24971345
0.761603184,0.36826646
0.133551565,0.23232636
0.73,0.653183
0.811624499,0.5857304
0.43,0.5857163
0.074859971,0.36823642
0.27,0.64778507
0.84,0.5857163
0.922229381,0.24968739
0.24,0.5857163
0.071642484,0.36826134
0.39,0.5857163
0.95,0.653183
0.28,0.653183
1.0,0.5857163
0.76,0.5857163
0.17748795,0.24969026
0.206296485,0.23235027
0.53,0.64778507
0.950422163,0.24968739
0.924751054,0.24969879
0.35,0.64778507
0.88,0.5857163
0.89,0.5857163
-0.034106471,0.5856909
0.011360499,0.36822367
0.594632561,0.24975497
0.25,0.64778507
0.732198925,0.36832815
0.97,0.653183
0.29,0.653183
-0.094568083,0.24969026
0.499642546,0.5857279
0.993424938,0.5857304
0.514143958,0.36826646
0.874280313,0.24968739
0.44,0.5857163
0.34,0.64778507
1.0,0.653183
0.34,0.5857163
0.598145109,0.2323503
0.94,0.64778507
0.41,0.653183
0.51,0.653183
0.99,0.5857163
0.63,0.64778507
1.0,0.5857163
0.86,0.64778507
0.548123817,0.36822367
0.99,0.64778507
1.0,0.36824757
0.180006687,0.5857085
0.79,0.653183
0.106161668,0.23229204
0.898205923,0.585728
0.863458497,0.36832815
0.197132214,0.36823642
0.72,0.64778507
0.556923023,0.2323504
0.745116106,0.5857279
0.087115989,0.24968955
0.196159715,0.24968739
-0.07302073,0.5856909
0.248912575,0.36826134
0.911163486,0.5857304
0.883728512,0.24975497
-0.058915978,0.36834323
0.99,0.64778507
0.079236723,0.23232636
0.105721319,0.36834323
0.555683647,0.58571434
0.076198792,0.58572966
0.412286948,0.36832815
0.79,0.5857163
1.0,0.5857163
0.179385271,0.2323504
0.93,0.653183
0.792712931,0.58571434
-0.059888603,0.2323504
0.618991731,0.24975497
0.65,0.5857163
0.456097264,0.5857279
0.97,0.653183
1.0,0.653183
0.36,0.653183
1.0,0.5857163
0.19527817,0.2323504
0.559470848,0.36823383
0.98,0.64778507
0.86,0.653183
0.529621782,0.585728
0.350803781,0.36824915
0.50044192,0.585728
0.38,0.5857163
0.99,0.653183
-0.007986268,0.36834323
1.0,0.653183
1.0,0.5857163
0.51,0.5857163
0.046057417,0.368352
0.64,0.5857163
0.249635299,0.23235182
0.8,0.64778507
0.88,0.5857163
0.38,0.64778507
0.48,0.653183
0.234845709,0.36824915
-0.067459517,0.24969026
0.46,0.653183
0.131596405,0.24968955
0.53,0.653183
0.57,0.5857163
0.61,0.653183
0.211542441,0.36823642
0.60044908,0.36823642
0.622417284,0.36832815
-0.131117905,0.2497419
0.19266399,0.5857163
0.022898416,0.24968955
0.41,0.64778507
0.92,0.5857163
1.0,0.5857163
0.236285993,0.36824915
0.741254688,0.58571434
0.72,0.653183
0.51,0.5857163
0.3,0.653183
0.946770233,0.585728
0.319612582,0.58572966
0.086913195,0.36824757
0.134480554,0.2323503
0.58,0.653183
0.209772153,0.24970455
0.830517004,0.5857304
1.0,0.5857163
0.52,0.64778507
0.53,0.653183
0.21,0.64778507
-0.107465356,0.58573157
0.42,0.653183
0.154527024,0.24975497
0.878081331,0.36826646
0.88,0.64778507
0.080682039,0.2323504
0.64,0.64778507
0.489999511,0.58572286
0.091889954,0.2323504
-0.106730424,0.23235063
0.85,0.64778507
0.78,0.64778507
-0.048875771,0.24969879
0.001967964,0.2323503
0.111121833,0.24971345
0.414071455,0.24969026
-0.04229915,0.24970827
0.067712437,0.2323503
0.77,0.5857163
0.99,0.64778507
0.018814275,0.24974136
0.06339699,0.36826134
0.22,0.64778507
0.03,0.64778507
0.54,0.653183
0.017907227,0.2323504
0.24,0.64778507
0.78,0.64778507
0.315512557,0.2323504
0.21,0.653183
0.61801706,0.58573157
0.40211304,0.58572966
0.34,0.64778507
0.3,0.5857163
-0.098389375,0.24969879
0.81,0.653183
0.56,0.64778507
0.29,0.64778507
-0.063353198,0.24969026
1.0,0.64778507
0.517792235,0.36823642
0.928674877,0.24969879
0.31,0.64778507
0.565330474,0.24975497
0.26,0.64778507
0.506920261,0.36832815
0.39,0.64778507
1.0,0.5857163
0.017794056,0.2323503
0.6,0.5857163
0.998976857,0.5858524
0.94,0.64778507
0.220677424,0.58572286
1.0,0.5857163
0.93,0.64778507
0.057069506,0.36824915
0.24,0.64778507
0.000219932,0.36823642
0.111831537,0.23235063
0.35,0.5857163
0.76,0.64778507
0.5,0.5857163
0.4,0.64778507
-0.048458916,0.36834323
0.13,0.64778507
-0.078953074,0.23232636
0.46,0.653183
1.0,0.64778507
0.58,0.5857163
-0.108665187,0.58573157
0.27,0.64778507
0.000705919,0.23242904
-0.095155393,0.23232636
0.331663404,0.36824915
0.237924338,0.2323504
0.58206034,0.24971345
0.551232012,0.36832815
0.29,0.64778507
0.124445092,0.2323503
1.0,0.64778507
0.663726929,0.36832815
-0.054465691,0.36834323
0.64,0.653183
0.046435592,0.36826134
0.002620969,0.23238021
1.0,0.5857163
0.32,0.5857163
0.93,0.64778507
0.98512613,0.58571434
0.933619558,0.24968739
1.0,0.36832815
0.93,0.64778507
0.848548655,0.5857304
0.011912118,0.2497419
0.86,0.5857163
0.95,0.653183
-0.058556846,0.23238021
0.071626989,0.36822367
0.099598477,0.23232636
0.278611286,0.24968739
0.52,0.653183
0.779964298,0.23235182
0.771984669,0.36826646
0.433134136,0.23229204
0.652594951,0.2323503
0.490889429,0.36826646
0.99,0.64778507
0.4,0.64778507
0.370666906,0.2323504
0.656310438,0.2323504
-0.097527026,0.5856909
0.273924535,0.368352
0.92,0.653183
0.377145326,0.58573157
-0.068822628,0.58573157
-0.132899681,0.24968739
0.914957893,0.36826646
-0.042409374,0.23238021
0.16,0.653183
1.0,0.5857163
0.98,0.653183
1.0,0.64778507
0.62,0.5857163
0.107410124,0.368352
0.76,0.653183
0.546462741,0.5857304
0.49,0.653183
0.131540438,0.24971345
0.18,0.5857163
0.496612395,0.36826646
0.65,0.64778507
0.020987928,0.2323504
1.0,0.5857163
0.391463745,0.24968739
0.127306584,0.5857279
0.64,0.64778507
0.5326878,0.36826646
0.100110344,0.23229204
0.051965886,0.2323503
0.155595422,0.2497419
0.037172393,0.58573157
0.28,0.64778507
0.874105221,0.58572966
0.985587903,0.36832815
0.552094641,0.23229204
0.767329929,0.58572286
1.0,0.653183
0.5,0.653183
0.261863087,0.23235063
0.86,0.5857163
0.501603046,0.5857163
-0.073131496,0.23235063
0.59,0.64778507
0.925820385,0.5858524
0.35,0.653183
0.39616988,0.58572966
0.684621218,0.36826646
0.205592573,0.23229204
-0.106411948,0.23235063
0.32,0.5857163
0.92,0.5857163
-0.053350723,0.23235182
0.978455212,0.24970827
-0.078156573,0.24968739
0.931998075,0.24969026
0.82,0.5857163
0.92,0.64778507
0.067333507,0.58572286
0.724092237,0.58571434
0.094708718,0.24971345
0.47,0.653183
0.226632269,0.2323503
0.7050101,0.36832815
0.930800317,0.36826646
0.066127194,0.2323503
0.036884859,0.2323504
0.273388878,0.5858524
0.94,0.653183
0.945039235,0.23235182
0.71,0.64778507
0.96,0.653183
0.223982782,0.24971345
0.99,0.653183
0.99,0.653183
0.452912727,0.5858524
0.112949847,0.2323504
0.265438827,0.24974136
0.931933135,0.5857163
0.07745637,0.2323504
0.32,0.5857163
-0.100286319,0.58573157
0.939004164,0.24968739
0.29,0.5857163
0.26,0.64778507
-0.02,0.5857163
0.619028608,0.24968739
0.95,0.653183
0.71,0.64778507
0.037142779,0.23232636
0.957293629,0.36832815
0.03659654,0.24968955
0.012334724,0.24970455
0.73,0.5857163
0.826146594,0.5857304
0.4,0.64778507
0.073563804,0.24968739
0.54,0.64778507
-0.005420425,0.36823383
0.294673173,0.24975497
0.373160229,0.2323503
0.976864645,0.36832815
0.6,0.653183
0.071318399,0.2323503
0.98,0.5857163
0.748778465,0.58571434
0.82,0.653183
-0.022965393,0.36823642
0.195796602,0.36824915
1.0,0.64778507
0.268455029,0.23235182
0.842412824,0.24970827
0.85,0.5857163
0.81,0.5857163
0.8,0.653183
1.0,0.5857163
0.127679769,0.24971345
0.59,0.653183
0.13,0.653183
-0.02504032,0.2323503
0.97,0.64778507
0.71,0.653183
0.23,0.5857163
0.109456727,0.24970455
0.393979442,0.36822367
0.851695043,0.24969879
0.644052619,0.24974136
0.165361704,0.36823383
0.834969925,0.58571434
-0.005483704,0.23232636
0.021970563,0.36826134
0.863384333,0.36832815
0.68,0.64778507
0.17,0.5857163
-0.105627805,0.24968739
0.830896548,0.585728
-0.03613439,0.2323504
0.037958303,0.2323504
0.053985624,0.24968739
0.58,0.5857163
0.22,0.653183
0.153583013,0.36824915
0.193959083,0.24974136
0.459454361,0.2323503
0.068420286,0.5857085
0.14,0.5857163
0.277934187,0.23229204
0.97,0.64778507
0.307800812,0.5857279
0.83,0.64778507
0.19,0.64778507
0.22,0.64778507
0.66,0.653183
0.985205046,0.23235063
0.024929925,0.24969026
-0.234098668,0.2323504
0.019099076,0.2323504
0.37,0.5857163
0.50463971,0.58572966
0.63,0.653183
0.37,0.64778507
0.81,0.5857163
0.51,0.5857163
0.69,0.5857163
0.5,0.64778507
0.54,0.5857163
0.53,0.5857163
0.538192471,0.23235182
-0.047793682,0.2497419
0.93,0.5857163
1.0,0.5857163
0.767003228,0.5857163
0.94,0.64778507
0.33,0.64778507
0.946991513,0.2323503
0.389011788,0.24970455
0.022611656,0.24968955
0.045062895,0.36834323
0.183871169,0.58572286
-0.090008102,0.5856909
0.43,0.64778507
1.0,0.653183
0.617122604,0.36826646
0.78,0.653183
1.0,0.5857163
0.77,0.64778507
