Actual,Predicted
[0.9700000286102295],[0.7125584483146667]
[0.5137849450111389],[0.5814944505691528]
[0.26772767305374146],[0.22626405954360962]
[0.8504948019981384],[0.4591331481933594]
[0.7900000214576721],[0.7125584483146667]
[0.5620041489601135],[0.5599658489227295]
[0.8576011657714844],[0.5814944505691528]
[0.36000001430511475],[0.7125584483146667]
[0.5388002991676331],[0.5857352614402771]
[0.06710470467805862],[0.5857352614402771]
[0.9258919954299927],[0.4591331481933594]
[1.0],[0.710311770439148]
[0.21451011300086975],[0.19927483797073364]
[-0.07926149666309357],[0.24314406514167786]
[0.20999999344348907],[0.7125584483146667]
[0.6912131309509277],[0.5356864929199219]
[0.9800000190734863],[0.7125584483146667]
[0.6899999976158142],[0.6193937063217163]
[0.09343209862709045],[0.2290370762348175]
[-0.10576950013637543],[0.24314406514167786]
[0.20804128050804138],[0.3822733759880066]
[0.4000000059604645],[0.6193937063217163]
[0.9900000095367432],[0.710311770439148]
[0.800597071647644],[0.6193937063217163]
[0.2875494360923767],[0.19927483797073364]
[0.5099999904632568],[0.7125584483146667]
[0.02055186592042446],[0.17851179838180542]
[0.47999998927116394],[0.710311770439148]
[0.8299999833106995],[0.710311770439148]
[0.5400000214576721],[0.710311770439148]
[0.9921156167984009],[0.24314406514167786]
[0.10238157957792282],[0.253811776638031]
[0.3614012598991394],[0.19934093952178955]
[0.9535473585128784],[0.6538420915603638]
[0.7729751467704773],[0.5356864929199219]
[0.34720414876937866],[0.24314406514167786]
[0.34876078367233276],[0.5807932019233704]
[0.6399999856948853],[0.710311770439148]
[0.6937196254730225],[0.5814944505691528]
[0.9599999785423279],[0.6193937063217163]
[0.4383547604084015],[0.24314406514167786]
[0.93903648853302],[0.4591331481933594]
[0.8308830261230469],[0.5818983316421509]
[0.178880974650383],[0.1990673840045929]
[0.49000000953674316],[0.710311770439148]
[0.3100000023841858],[0.710311770439148]
[0.949999988079071],[0.7125584483146667]
[0.09690782427787781],[0.23377618193626404]
[0.8199999928474426],[0.710311770439148]
[0.9857575297355652],[0.4591331481933594]
[0.7769808769226074],[0.22174769639968872]
[1.0],[0.4108004868030548]
[0.800000011920929],[0.710311770439148]
[0.9900000095367432],[0.710311770439148]
[0.6800000071525574],[0.7125584483146667]
[0.30000001192092896],[0.710311770439148]
[0.9399999976158142],[0.7125584483146667]
[0.04953726381063461],[0.1653553545475006]
[1.0],[0.6193937063217163]
[0.42409202456474304],[0.5356864929199219]
[0.8999999761581421],[0.7125584483146667]
[0.7699999809265137],[0.710311770439148]
[0.39806047081947327],[0.3822733759880066]
[0.3666497766971588],[0.22174769639968872]
[0.015726875513792038],[0.24078238010406494]
[0.5002532601356506],[0.19927483797073364]
[0.20704206824302673],[0.5828931927680969]
[0.6556881666183472],[0.6538420915603638]
[0.030581878498196602],[0.37562161684036255]
[0.7989653944969177],[0.5814944505691528]
[0.3199999928474426],[0.710311770439148]
[0.7699999809265137],[0.7125584483146667]
[0.29477471113204956],[0.6538420915603638]
[0.5799999833106995],[0.6193937063217163]
[0.5297969579696655],[0.253811776638031]
[0.23991133272647858],[0.1653553545475006]
[0.5199999809265137],[0.710311770439148]
[0.4711452126502991],[0.22626405954360962]
[-0.018487682566046715],[-0.06324612349271774]
[0.5600000023841858],[0.710311770439148]
[0.23000000417232513],[0.710311770439148]
[1.0],[0.6193937063217163]
[-0.04041014611721039],[-0.06324612349271774]
[0.6800000071525574],[0.6193937063217163]
[0.7799999713897705],[0.6193937063217163]
[0.9599999785423279],[0.710311770439148]
[0.014217870309948921],[0.44603145122528076]
[0.9800000190734863],[0.7125584483146667]
[0.30134516954421997],[0.253811776638031]
[0.6499999761581421],[0.7125584483146667]
[-0.16313065588474274],[0.44603145122528076]
[1.0],[0.710311770439148]
[0.3591473698616028],[0.19927826523780823]
[0.9752188920974731],[0.5814944505691528]
[0.3199999928474426],[0.6193937063217163]
[0.3499999940395355],[0.7125584483146667]
[0.1236659362912178],[0.6538420915603638]
[0.1486317366361618],[0.07899376004934311]
[0.46000000834465027],[0.7125584483146667]
[0.3700000047683716],[0.7125584483146667]
[0.8199999928474426],[0.7125584483146667]
