SW,MWCO,CA,ZP,Permeance,Rejection
1.507779699,350,87,-15,48.05898411,0.742499749
1.507779699,350,87,-15,48.05898411,0.351755086
1.507779699,350,87,-15,48.05898411,0.364471692
1.507779699,350,87,-15,48.05898411,0.232885014
1.507779699,350,87,-15,48.05898411,0.098254054
1.507779699,350,87,-15,48.05898411,0.219360485
1.507779699,350,87,-15,48.05898411,0.60479741
1.507779699,350,87,-15,48.05898411,0.372533905
1.507779699,350,87,-15,48.05898411,0.686929399
1.507779699,350,87,-15,48.05898411,0.257173472
1.507779699,350,87,-15,48.05898411,0.049287762
1.507779699,350,87,-15,48.05898411,0.775637527
1.507779699,350,87,-15,48.05898411,0.5290086
1.507779699,350,87,-15,48.05898411,0.202596007
1.507779699,350,87,-15,48.05898411,0.012334724
1.507779699,350,87,-15,48.05898411,0.180718282
1.507779699,350,87,-15,48.05898411,0.637625449
1.507779699,350,87,-15,48.05898411,0.201595623
1.507779699,350,87,-15,48.05898411,0.379204813
1.507779699,350,87,-15,48.05898411,0.786152358
1.507779699,350,87,-15,48.05898411,0.376158605
1.507779699,350,87,-15,48.05898411,0.146296653
1.507779699,350,87,-15,48.05898411,0.223924799
1.507779699,350,87,-15,48.05898411,0.0934321
1.507779699,350,87,-15,48.05898411,0.349532009
1.507779699,350,87,-15,48.05898411,0.109456727
1.507779699,350,87,-15,48.05898411,0.371398754
1.507779699,350,87,-15,48.05898411,0.280865121
1.507779699,350,87,-15,48.05898411,0.417794046
1.507779699,350,87,-15,48.05898411,0.391686721
1.507779699,350,87,-15,48.05898411,0.000604046
1.507779699,350,87,-15,48.05898411,0.209772153
1.507779699,350,87,-15,48.05898411,0.389011788
1.507779699,350,87,-15,48.05898411,0.369519415
1.507779699,350,87,-15,48.05898411,0.969638538
1.507779699,350,87,-15,48.05898411,0.307399335
1.507779699,350,87,-15,48.05898411,0.125031294
1.507779699,350,87,-15,48.05898411,0.359086215
1.507779699,350,87,-15,48.05898411,0.440002022
1.507779699,350,87,-15,48.05898411,0.265283991
1.507779699,350,87,-15,48.05898411,0.060905491
1.507779699,350,87,-15,48.05898411,0.147043038
1.507779699,350,87,-15,48.05898411,0.378002372
1.507779699,350,87,-15,48.05898411,0.395193083
1.507779699,350,87,-15,48.05898411,0.28123623
1.507779699,350,87,-15,48.05898411,0.421842867
1.507779699,350,87,-15,48.05898411,0.393910888
1.507779699,350,87,-15,48.05898411,0.934811729
1.507779699,350,87,-15,48.05898411,0.084700171
1.507779699,350,87,-15,48.05898411,0.769823546
1.507779699,350,87,-15,48.05898411,0.258210721
1.507779699,350,87,-15,48.05898411,0.710875089
1.507779699,350,87,-15,48.05898411,0.650476416
1.507779699,350,87,-15,48.05898411,0.415735192
1.507779699,350,87,-15,48.05898411,0.244720788
1.507779699,350,87,-15,48.05898411,0.338537704
1.507779699,350,87,-15,48.05898411,0.613256613
1.507779699,350,87,-15,48.05898411,0.219196114
1.507779699,350,87,-15,48.05898411,0.798126096
1.4625323,200,59,-20,0.81,0.85
1.4625323,200,59,-20,0.95,0.75
1.4625323,200,59,-20,0.81,0.41
1.4625323,200,59,-20,0.81,0.87
1.4625323,200,59,-20,0.81,0.54
1.4625323,200,59,-20,0.81,0.87
1.4625323,200,59,-20,0.81,0.9
1.4625323,200,59,-20,0.95,0.19
1.4625323,200,59,-20,0.81,1
1.4625323,200,59,-20,0.95,0.9
1.4625323,200,59,-20,0.81,0.32
1.4625323,200,59,-20,0.81,0.22
1.4625323,200,59,-20,0.81,0.98
1.4625323,200,59,-20,0.81,0.96
1.4625323,200,59,-20,0.81,0.65
1.4625323,200,59,-20,0.81,0.38
1.4625323,200,59,-20,0.95,0.99
1.4625323,200,59,-20,0.81,0.7
1.4625323,200,59,-20,0.95,0.3
1.4625323,200,59,-20,0.95,0.1
1.4625323,200,59,-20,0.95,0.8
1.4625323,200,59,-20,0.95,0.52
1.4625323,200,59,-20,0.81,0.36
1.4625323,200,59,-20,0.81,0.67
1.4625323,200,59,-20,0.95,0.75
1.4625323,200,59,-20,0.81,1
1.4625323,200,59,-20,0.95,0.88
1.4625323,200,59,-20,0.95,0.73
1.4625323,200,59,-20,0.81,0.44
1.4625323,200,59,-20,0.95,1
1.4625323,200,59,-20,0.81,0.69
1.4625323,200,59,-20,0.81,0.78
1.4625323,200,59,-20,0.81,1
1.4625323,200,59,-20,0.81,0.64
1.4625323,200,59,-20,0.81,0.31
1.4625323,200,59,-20,0.95,0.57
1.4625323,200,59,-20,0.81,1
1.4625323,200,59,-20,0.95,0.12
1.4625323,200,59,-20,0.95,0.91
1.4625323,200,59,-20,0.81,0.66
1.4625323,200,59,-20,0.81,0.45
1.4625323,200,59,-20,0.95,0.44
1.4625323,200,59,-20,0.95,0.95
1.4625323,200,59,-20,0.81,0.72
1.4625323,200,59,-20,0.95,0.26
1.4625323,200,59,-20,0.95,0.85
1.4625323,200,59,-20,0.81,0.98
1.4625323,200,59,-20,0.95,0.56
1.4625323,200,59,-20,0.95,0.52
1.4625323,200,59,-20,0.81,0.8
1.4625323,200,59,-20,0.95,0.8
1.4625323,200,59,-20,0.81,0.4
1.4625323,200,59,-20,0.81,0.94
1.4625323,200,59,-20,0.81,0.62
1.4625323,200,59,-20,0.81,0.93
1.4625323,200,59,-20,0.81,0.39
1.4625323,200,59,-20,0.81,0.58
1.4625323,200,59,-20,0.81,0.47
1.4625323,200,59,-20,0.95,0.94
1.4625323,200,59,-20,0.81,1
1.4625323,200,59,-20,0.81,0.87
1.4625323,200,59,-20,0.95,0.92
1.4625323,200,59,-20,0.81,0.55
1.4625323,200,59,-20,0.95,0.48
1.4625323,200,59,-20,0.95,0.88
1.4625323,200,59,-20,0.95,0.59
1.4625323,200,59,-20,0.81,0.39
1.4625323,200,59,-20,0.95,0.35
1.4625323,200,59,-20,0.95,1
1.4625323,200,59,-20,0.81,0.63
1.4625323,200,59,-20,0.95,0.93
1.4625323,200,59,-20,0.81,0.8
1.4625323,200,59,-20,0.81,0.84
1.4625323,200,59,-20,0.95,0.97
1.4625323,200,59,-20,0.81,1
1.4625323,200,59,-20,0.81,0.44
1.4625323,200,59,-20,0.81,0.4
1.4625323,200,59,-20,0.81,0.32
1.4625323,200,59,-20,0.95,0.41
1.4625323,200,59,-20,0.81,0.56
1.4625323,200,59,-20,0.81,0.94
1.4625323,200,59,-20,0.95,0.19
1.4625323,200,59,-20,0.81,0.6
1.4625323,200,59,-20,0.95,0.36
1.4625323,200,59,-20,0.81,1
1.4625323,200,59,-20,0.95,1
1.4625323,200,59,-20,0.81,0.87
1.4625323,200,59,-20,0.95,0.26
1.4625323,200,59,-20,0.95,1
1.4625323,200,59,-20,0.81,0.7
1.4625323,200,59,-20,0.81,0.36
1.4625323,200,59,-20,0.81,0.71
1.4625323,200,59,-20,0.95,0.96
1.4625323,200,59,-20,0.95,0.41
1.4625323,200,59,-20,0.95,0.93
1.4625323,200,59,-20,0.81,0.46
1.4625323,200,59,-20,0.81,0.99
1.4625323,200,59,-20,0.95,0.97
1.4625323,200,59,-20,0.95,0.53
1.4625323,200,59,-20,0.81,0.12
1.4625323,200,59,-20,0.81,0.97
1.4625323,200,59,-20,0.81,0.89
1.4625323,200,59,-20,0.81,1
1.4625323,200,59,-20,0.81,1
1.4625323,200,59,-20,0.95,0.23
1.4625323,200,59,-20,0.81,0.56
1.4625323,200,59,-20,0.95,0.98
1.4625323,200,59,-20,0.81,0.38
1.4625323,200,59,-20,0.95,0.59
1.4625323,200,59,-20,0.81,0.83
1.4625323,200,59,-20,0.95,0.55
1.4625323,200,59,-20,0.81,0.78
1.4625323,200,59,-20,0.95,0.72
1.4625323,200,59,-20,0.81,1
1.4625323,200,59,-20,0.81,1
1.4625323,200,59,-20,0.95,0.81
1.4625323,200,59,-20,0.81,0.78
1.4625323,200,59,-20,0.95,0.98
1.4625323,200,59,-20,0.95,0.77
1.4625323,200,59,-20,0.81,0.2
1.4625323,200,59,-20,0.81,0.34
1.4625323,200,59,-20,0.81,0.78
1.4625323,200,59,-20,0.81,0.56
1.4625323,200,59,-20,0.81,0.78
1.4625323,200,59,-20,0.95,0.18
1.4625323,200,59,-20,0.95,0.13
1.4625323,200,59,-20,0.95,0.35
1.4625323,200,59,-20,0.95,1
1.4625323,200,59,-20,0.81,0.91
1.4625323,200,59,-20,0.81,0.31
1.4625323,200,59,-20,0.81,0.5
1.4625323,200,59,-20,0.81,0.33
1.4625323,200,59,-20,0.81,0.98
1.4625323,200,59,-20,0.95,0.99
1.4625323,200,59,-20,0.95,0.56
1.4625323,200,59,-20,0.95,0.83
1.4625323,200,59,-20,0.95,0.53
1.4625323,200,59,-20,0.95,0.25
1.4625323,200,59,-20,0.95,1
1.4625323,200,59,-20,0.95,1
1.4625323,200,59,-20,0.95,0.37
1.4625323,200,59,-20,0.81,0.37
1.4625323,200,59,-20,0.95,0.99
1.4625323,200,59,-20,0.81,0.83
1.4625323,200,59,-20,0.81,0.36
1.4625323,200,59,-20,0.95,0.75
1.4625323,200,59,-20,0.81,0.64
1.4625323,200,59,-20,0.81,0.86
1.4625323,200,59,-20,0.81,0.21
1.4625323,200,59,-20,0.81,0.41
1.4625323,200,59,-20,0.81,1
1.4625323,200,59,-20,0.95,1
1.4625323,200,59,-20,0.95,0.99
1.4625323,200,59,-20,0.81,0.85
1.4625323,200,59,-20,0.95,1
1.4625323,200,59,-20,0.81,0.35
1.4625323,200,59,-20,0.81,0.65
1.4625323,200,59,-20,0.95,0.96
1.4625323,200,59,-20,0.95,1
1.4625323,200,59,-20,0.81,1
1.4625323,200,59,-20,0.95,0.37
1.4625323,200,59,-20,0.95,0.93
1.4625323,200,59,-20,0.81,1
1.4625323,200,59,-20,0.81,0.92
1.4625323,200,59,-20,0.81,1
1.4625323,200,59,-20,0.81,0.99
1.4625323,200,59,-20,0.95,0.56
1.4625323,200,59,-20,0.95,0.38
1.4625323,200,59,-20,0.81,0.23
1.4625323,200,59,-20,0.81,0.39
1.4625323,200,59,-20,0.95,0.52
1.4625323,200,59,-20,0.95,0.78
1.4625323,200,59,-20,0.81,0.99
1.4625323,200,59,-20,0.81,0.18
1.4625323,200,59,-20,0.81,0.82
1.4625323,200,59,-20,0.81,0.25
1.4625323,200,59,-20,0.95,0.1
1.4625323,200,59,-20,0.95,0.24
1.4625323,200,59,-20,0.95,0.99
1.4625323,200,59,-20,0.81,0.78
1.4625323,200,59,-20,0.95,0.87
1.4625323,200,59,-20,0.81,0.52
1.4625323,200,59,-20,0.81,0.99
1.4625323,200,59,-20,0.95,0.47
1.4625323,200,59,-20,0.81,0.25
1.4625323,200,59,-20,0.81,0.62
1.4625323,200,59,-20,0.95,1
1.4625323,200,59,-20,0.81,0.87
1.4625323,200,59,-20,0.95,0.4
1.4625323,200,59,-20,0.95,0.32
1.4625323,200,59,-20,0.81,0.34
1.4625323,200,59,-20,0.81,0.5
1.4625323,200,59,-20,0.95,1
1.4625323,200,59,-20,0.95,0.98
1.4625323,200,59,-20,0.95,1
1.4625323,200,59,-20,0.95,1
1.4625323,200,59,-20,0.81,0.91
1.4625323,200,59,-20,0.81,0.95
1.4625323,200,59,-20,0.81,0.99
1.4625323,200,59,-20,0.95,1
1.4625323,200,59,-20,0.81,0.87
1.4625323,200,59,-20,0.95,0.84
1.4625323,200,59,-20,0.95,0.98
1.4625323,200,59,-20,0.95,0.58
1.4625323,200,59,-20,0.81,1
1.4625323,200,59,-20,0.81,1
1.4625323,200,59,-20,0.95,0.92
1.4625323,200,59,-20,0.95,1
1.4625323,200,59,-20,0.81,0.49
1.4625323,200,59,-20,0.95,0.14
1.4625323,200,59,-20,0.95,0.7
1.4625323,200,59,-20,0.81,0.39
1.4625323,200,59,-20,0.81,0.48
1.4625323,200,59,-20,0.81,0.59
1.4625323,200,59,-20,0.81,0.09
1.4625323,200,59,-20,0.81,1
1.4625323,200,59,-20,0.81,0.48
1.4625323,200,59,-20,0.95,0.72
1.4625323,200,59,-20,0.81,0.86
1.4625323,200,59,-20,0.81,0.34
1.4625323,200,59,-20,0.81,0.99
1.4625323,200,59,-20,0.95,1
1.4625323,200,59,-20,0.95,0.99
1.4625323,200,59,-20,0.81,0.45
1.4625323,200,59,-20,0.95,0.26
1.4625323,200,59,-20,0.95,0.98
1.4625323,200,59,-20,0.95,1
1.4625323,200,59,-20,0.95,0.91
1.4625323,200,59,-20,0.95,0.5
1.4625323,200,59,-20,0.95,0.68
1.4625323,200,59,-20,0.81,0.29
1.4625323,200,59,-20,0.95,0.89
1.4625323,200,59,-20,0.95,0.96
1.4625323,200,59,-20,0.95,0.77
1.4625323,200,59,-20,0.81,0.3
1.4625323,200,59,-20,0.95,0.91
1.4625323,200,59,-20,0.81,0.99
1.4625323,200,59,-20,0.81,0.7
1.4625323,200,59,-20,0.95,1
1.4625323,200,59,-20,0.81,0.93
1.4625323,200,59,-20,0.81,0.82
1.4625323,200,59,-20,0.95,0.46
1.4625323,200,59,-20,0.81,0.73
1.4625323,200,59,-20,0.95,0.27
1.4625323,200,59,-20,0.95,0.42
1.4625323,200,59,-20,0.81,1
1.4625323,200,59,-20,0.81,0.78
1.4625323,200,59,-20,0.81,0.99
1.4625323,200,59,-20,0.95,0.99
1.4625323,200,59,-20,0.95,0.91
1.4625323,200,59,-20,0.81,0.21
1.4625323,200,59,-20,0.81,0.68
1.4625323,200,59,-20,0.95,0.15
1.4625323,200,59,-20,0.95,0.8
1.4625323,200,59,-20,0.95,0.81
1.4625323,200,59,-20,0.81,0.93
1.4625323,200,59,-20,0.81,0.96
1.4625323,200,59,-20,0.81,0.99
1.4625323,200,59,-20,0.81,0.95
1.4625323,200,59,-20,0.95,1
1.4625323,200,59,-20,0.95,1
1.4625323,200,59,-20,0.95,0.57
1.4625323,200,59,-20,0.95,0.83
1.4625323,200,59,-20,0.81,0.18
1.4625323,200,59,-20,0.81,0.82
1.4625323,200,59,-20,0.95,0.44
1.4625323,200,59,-20,0.81,0.9
1.4625323,200,59,-20,0.95,0.99
1.4625323,200,59,-20,0.95,0.81
1.4625323,200,59,-20,0.95,0.15
1.4625323,200,59,-20,0.95,0.04
1.4625323,200,59,-20,0.81,0.37
1.4625323,200,59,-20,0.95,0.97
1.4625323,200,59,-20,0.81,0.71
1.4625323,200,59,-20,0.95,0.54
1.4625323,200,59,-20,0.95,0.97
1.4625323,200,59,-20,0.81,0.72
1.4625323,200,59,-20,0.95,0.98
1.4625323,200,59,-20,0.95,0.94
1.4625323,200,59,-20,0.81,0.64
1.4625323,200,59,-20,0.81,0.27
1.4625323,200,59,-20,0.95,1
1.4625323,200,59,-20,0.95,0.21
1.4625323,200,59,-20,0.81,0.91
1.4625323,200,59,-20,0.95,0.98
1.4625323,200,59,-20,0.95,0.16
1.4625323,200,59,-20,0.95,0.93
1.4625323,200,59,-20,0.95,0.87
1.4625323,200,59,-20,0.95,0.48
1.4625323,200,59,-20,0.81,0.58
1.4625323,200,59,-20,0.81,0.57
1.4625323,200,59,-20,0.95,0.91
1.4625323,200,59,-20,0.81,0.74
1.4625323,200,59,-20,0.95,0.47
1.4625323,200,59,-20,0.95,1
1.4625323,200,59,-20,0.81,0.9
1.4625323,200,59,-20,0.95,0.44
1.4625323,200,59,-20,0.95,0.92
1.4625323,200,59,-20,0.81,0.43
1.4625323,200,59,-20,0.81,0.37
1.4625323,200,59,-20,0.81,0.35
1.4625323,200,59,-20,0.95,0.54
1.4625323,200,59,-20,0.81,1
1.4625323,200,59,-20,0.81,1
1.4625323,200,59,-20,0.95,0.15
1.4625323,200,59,-20,0.81,0.48
1.4625323,200,59,-20,0.95,0.2
1.4625323,200,59,-20,0.81,1
1.4625323,200,59,-20,0.95,0.19
1.4625323,200,59,-20,0.81,1
1.4625323,200,59,-20,0.81,0.96
1.4625323,200,59,-20,0.81,1
1.4625323,200,59,-20,0.95,0.34
1.4625323,200,59,-20,0.81,0.9
1.4625323,200,59,-20,0.81,0.64
1.4625323,200,59,-20,0.95,0.8
1.4625323,200,59,-20,0.81,0.18
1.4625323,200,59,-20,0.95,0.99
1.4625323,200,59,-20,0.95,0.79
1.4625323,200,59,-20,0.81,0.71
1.4625323,200,59,-20,0.81,0.83
